year_iso,week_iso,sku_acumulado,cobertura_percentual,baseline_snapshot_month,baseline_skus
2026,2,187,2.6,2026-07,7202
2026,3,680,9.44,2026-07,7202
2026,4,989,13.73,2026-07,7202
2026,5,1205,16.73,2026-07,7202
2026,6,1390,19.3,2026-07,7202
2026,7,1477,20.51,2026-07,7202
2026,8,1578,21.91,2026-07,7202
2026,9,1803,25.03,2026-07,7202
2026,10,1926,26.74,2026-07,7202
2026,11,2123,29.48,2026-07,7202
2026,12,2523,35.03,2026-07,7202
2026,13,2691,37.36,2026-07,7202
2026,14,2812,39.04,2026-07,7202
2026,15,2886,40.07,2026-07,7202
2026,16,2926,40.63,2026-07,7202
2026,17,3083,42.81,2026-07,7202
2026,18,3152,43.77,2026-07,7202
2026,19,3185,44.22,2026-07,7202
2026,20,3192,44.32,2026-07,7202
2026,21,3245,45.06,2026-07,7202
2026,22,3334,46.29,2026-07,7202
2026,23,3435,47.7,2026-07,7202
2026,24,3453,47.95,2026-07,7202
2026,25,3488,48.43,2026-07,7202
2026,26,3490,48.46,2026-07,7202
2026,27,3505,48.67,2026-07,7202
