snapshot_date,warehouse_code,material,material_desc,qty_total,value_total
2026-02-23,MAST,4581040,GRAVADOR DIG MHDX 1108 C,813.0,160258.56
2026-02-23,MAST,1890873,PCIM PRINCIPAL MHDX 1108-C,3618.0,72003.4
2026-02-23,MAST,4750074,ROTEADOR WRS ACTION RG 1200,562.0,66591.38
2026-02-23,MAST,4565514,CAMERA VID WI-FI FHD IMX C,579.0,55780.86
2026-02-23,MAST,4750201,ROTEADOR WI-FI W5-1200GS,706.0,50443.7
2026-02-23,MAST,4590016,CAMERA VID WI-FI IM7-S FC,320.0,45865.6
2026-02-23,MAST,4750077,ROTEADOR WRS W5-1200F,507.0,39358.41
2026-02-23,MAST,4750134,ROTEADOR WRS W6-1500,472.0,38416.08
2026-02-23,MAST,4760115,SWITCH 24P 1000MBPS S1124G,148.0,36166.76
2026-02-23,MAST,4581048,GRAVADOR DIG MHDX 1108 C C/HD 1TB,83.0,34639.22
2026-02-23,MAST,1950277,"APARELHO RADIODETEC 24,15GHZ RAD 7450 FT",2.0,33040.86
2026-02-23,MAST,4581092,GRAVADOR DIG MHDX 1308,147.0,32930.94
2026-02-23,MAST,4780077,MODEM OPTICO PON LAN 4P WIFIBER AX 1800,186.0,32373.3
2026-02-23,MAST,4750091,MODEM OPT FXS WI-FI AC WIFIBER 121 AC,211.0,31529.73
2026-02-23,MAST,4780062,MODEM OPTICO PON 1P LAN 1P - ONU R1,596.0,30670.16
2026-02-23,MAST,2882184,PLACA PRIN ROT. WRS W5-1200G,700.0,29736.0
2026-02-23,MAST,4570041,CAMERA TV IP B VIPC 1230 B G2,373.0,29444.62
2026-02-23,MAST,4820112,NOBREAK DNB 3KVA-220V-TW G2,26.0,28915.12
2026-02-23,MAST,4570028,CAMERA VID IP SD VIPW 1300 MINI SD,120.0,27980.4
2026-02-23,MAST,4565510,CAMERA VID WI-FI FHD IM4 C,229.0,27308.25
2026-02-23,MAST,4750219,ROTEADOR 5G BRANCO GX 3000 C/CHIP,26.0,26556.92
2026-02-23,MAST,4565506,CAMERA VID WI-FI FHD IM7 FC,143.0,26515.06
2026-02-23,MAST,4780129,MODEM OPTICO HG6145F,145.0,25636.0
2026-02-23,MAST,1870980,INVERSOR ON GRID 8KW IONS-8K M7 AFCI,8.0,24586.96
2026-02-23,MAST,4750095,ROTEADOR WRS W5-1200G,256.0,24450.56
2026-02-23,MAST,4750064,ROTEADOR EMP WI-FI AP 1350 AC-S,100.0,24107.0
2026-02-23,MAST,4580467,GRAVADOR DIG IMHDX 3132,27.0,23456.79
2026-02-23,MAST,4560052,CAMERA TV P/SIST SEG VHL 1120 B G2,536.0,23439.28
2026-02-23,MAST,4580130,GRAVADOR DIG MHDX 3116-C,51.0,21029.85
2026-02-23,MAST,4750076,ROTEADOR WRS GF 1200,220.0,20515.0
2026-02-23,MAST,4780086,MODEM OPT ULTRAWAVE WIFIBER 121 AC,154.0,20360.34
2026-02-23,MAST,4580316,SISTEMA RASTREM VEIC MVD 5204 GW,18.0,20046.96
2026-02-23,MAST,4780189,MODEM OPTICO HG6145F3,136.0,20042.32
2026-02-23,MAST,2880399,PLACA PRIN ROT WRS W5-1200F,488.0,19119.84
2026-02-23,MAST,4570042,CAMERA TV IP D VIPC 1230 D G2,220.0,18442.6
2026-02-23,MAST,4581079,SISTEMA RASTREM VEIC MVD 3404 GW,18.0,17963.46
2026-02-23,MAST,4750042,ROTEADOR EMP WI-FI AP 1250 AC MAX,81.0,17574.57
2026-02-23,MAST,4561602,CAMERA VEIC FHD SMART DC3102,109.0,16436.11
2026-02-23,MAST,4661403,AUTOMATIZADOR PORTAO BR 400 FAST,42.0,15878.52
2026-02-23,MAST,4290027,PROJETOR FULL HD PFL6410,25.0,15695.5
2026-02-23,MAST,4822048,NOBREAK DNB 6KVA-220V-TW,5.0,15695.3
2026-02-23,MAST,2880856,PLACA PRIN ROT WRS W4-300F,362.0,15377.76
2026-02-23,MAST,4661200,CENTRAL AUTOM INVERSORA CI-2000,172.0,15182.44
2026-02-23,MAST,4750086,ROTEADOR WRS ACTION RG 1200,119.0,15091.58
2026-02-23,MAST,4679030,FECHADURA C/LEITOR TAG RFID FX 3000 MF,83.0,15042.09
2026-02-23,MAST,4750097,ROTEADOR EXTS MESH TWIBI FORCE PLUG,153.0,14599.26
2026-02-23,MAST,4750160,ROTEADOR 5G PRETO VIVO GX 3000,14.0,14449.4
2026-02-23,MAST,4822024,NOBREAK DNB 3KVA-120V-RT,9.0,14278.95
2026-02-23,MAST,1890194,PCIM PRINCIPAL W6-1500,183.0,14109.66
