snapshot_date,warehouse_code,material,material_desc,qty_total,value_total
2026-02-23,MAST,4581040,GRAVADOR DIG MHDX 1108 C,813.0,160258.56
2026-02-23,MAST,4750074,ROTEADOR WRS ACTION RG 1200,562.0,66591.38
2026-02-23,MAST,4565514,CAMERA VID WI-FI FHD IMX C,579.0,55780.86
2026-02-23,MAST,4590016,CAMERA VID WI-FI IM7-S FC,320.0,45865.6
2026-02-23,MAST,4750077,ROTEADOR WRS W5-1200F,507.0,39358.41
2026-02-23,MAST,4750134,ROTEADOR WRS W6-1500,472.0,38416.08
2026-02-23,MAST,4760115,SWITCH 24P 1000MBPS S1124G,148.0,36166.76
2026-02-23,MAST,4581048,GRAVADOR DIG MHDX 1108 C C/HD 1TB,83.0,34639.22
2026-02-23,MAST,4581092,GRAVADOR DIG MHDX 1308,147.0,32930.94
2026-02-23,MAST,4780062,MODEM OPTICO PON 1P LAN 1P - ONU R1,596.0,30670.16
2026-02-23,MAST,4820112,NOBREAK DNB 3KVA-220V-TW G2,26.0,28915.12
2026-02-23,MAST,4570028,CAMERA VID IP SD VIPW 1300 MINI SD,120.0,27980.4
2026-02-23,MAST,4565510,CAMERA VID WI-FI FHD IM4 C,229.0,27308.25
2026-02-23,MAST,4565506,CAMERA VID WI-FI FHD IM7 FC,143.0,26515.06
2026-02-23,MAST,1870980,INVERSOR ON GRID 8KW IONS-8K M7 AFCI,8.0,24586.96
2026-02-23,MAST,4750064,ROTEADOR EMP WI-FI AP 1350 AC-S,100.0,24107.0
2026-02-23,MAST,4580467,GRAVADOR DIG IMHDX 3132,27.0,23456.79
2026-02-23,MAST,4560052,CAMERA TV P/SIST SEG VHL 1120 B G2,536.0,23439.28
2026-02-23,MAST,4580130,GRAVADOR DIG MHDX 3116-C,51.0,21029.85
2026-02-23,MAST,4580316,SISTEMA RASTREM VEIC MVD 5204 GW,18.0,20046.96
2026-02-23,MAST,4750042,ROTEADOR EMP WI-FI AP 1250 AC MAX,81.0,17574.57
2026-02-23,MAST,4561602,CAMERA VEIC FHD SMART DC3102,109.0,16436.11
2026-02-23,MAST,4290027,PROJETOR FULL HD PFL6410,25.0,15695.5
2026-02-23,MAST,4661200,CENTRAL AUTOM INVERSORA CI-2000,172.0,15182.44
2026-02-23,MAST,4750097,ROTEADOR EXTS MESH TWIBI FORCE PLUG,153.0,14599.26
2026-02-23,MAST,4750160,ROTEADOR 5G PRETO VIVO GX 3000,14.0,14449.4
2026-02-23,MAST,4560070,CAMERA VID WI-FI IM7+ZOOM FC,64.0,13980.8
2026-02-23,MAST,4820098,ESTACAO RECARGA VEIC BUSINESS - AC 22 KW,6.0,13947.42
2026-02-23,MAST,4590009,CAMERA VID WI-FI HD IMX 1,153.0,13864.86
2026-02-23,MAST,4570101,TESTADOR CFTV - TESTER 3000 MT,31.0,13813.91
2026-02-23,MAST,1890357,PCIM POTENCIA DNB 3KVA-220V G2,32.0,13425.4
2026-02-23,MAST,2880250,PLACA CIE 1060,158.0,13245.14
2026-02-23,MAST,4850030,INTERRUPTOR ELET SMART WIFI BR EWS 1006,178.0,12922.8
2026-02-23,MAST,4820114,NOBREAK DNB 3KVA-220V-RT G2,10.0,12798.3
2026-02-23,MAST,4570024,CAMERA VID IP VIP 5232 SD IA G2,7.0,12640.46
2026-02-23,MAST,4590007,CAMERA VEIC DUO DC 3201 2K+,44.0,12422.52
2026-02-23,MAST,4543512,CENTRAL ALRM ANM 24 NET,140.0,12266.8
2026-02-23,MAST,4760079,SWITCH 8P SG 800 Q+ CKD,210.0,12259.8
2026-02-23,MAST,4565299,CAMERA TV VHL1120 B,240.0,12160.8
2026-02-23,MAST,4820099,"ESTACAO RECARGA VEIC BUSINESS - AC 7,4KW",7.0,12097.33
2026-02-23,MAST,4590006,CAMERA VID WI-FI FHD IM5 SC BLACK,100.0,11729.0
2026-02-23,MAST,4580760,GRAVADOR DIG MHDX 1232,15.0,11712.6
2026-02-23,MAST,4565512,CAMERA VID WI-FI FHD IM3 C,126.0,11138.4
2026-02-23,MAST,4565515,CAMERA VID WI-FI FHD IMX C BLACK,112.0,11056.64
2026-02-23,MAST,4521020,PORTEIRO RESID IPR1010,156.0,10977.72
2026-02-23,MAST,2880676,"PCIM BASE COLLECTIVE 4,8,12I",122.0,10245.56
2026-02-23,MAST,4520040,VIDEO PORTEIRO RESIDENCIAL IP MVW 7070+,16.0,10022.72
2026-02-23,MAST,4560051,CAMERA TV P/SIST SEG VHL 1120 D G2,237.0,9657.75
2026-02-23,MAST,4750147,ROTEADOR 5G PRETO CLARO MERC GX 3000,9.0,9528.57
2026-02-23,MAST,4590013,CAMERA VID WI-FI 3MP IM8,42.0,9510.48
2026-02-23,MAST,4520046,VIDEOPORTEIRO WI-FI WT7,17.0,9461.86
2026-02-23,MAST,1870903,INVERSOR ON GRID 33KW IONS-33K T4,1.0,9450.74
2026-02-23,MAST,1891018,PCIM MODULO INTERNO ALLO WT7 V2,35.0,9432.5
2026-02-23,MAST,4520053,VIDEO PORTEIRO IVR 1070 HS,48.0,9261.6
2026-02-23,MAST,4822022,"NOBREAK DNB 1,5KVA-120V-RT",9.0,9083.07
2026-02-23,MAST,4610100,CENTRAL ALRM INCD ENDER CIE 1125,27.0,9027.72
2026-02-23,MAST,4560033,CAMERA TV VHD 1130 B G7,155.0,8997.75
2026-02-23,MAST,4750157,ROTEADOR 5G BRANCO TIM GX 3000,9.0,8904.15
2026-02-23,MAST,1870911,INVERSOR ON GRID 8KW IONS-8K M7,3.0,8723.94
2026-02-23,MAST,4670008,FECHADURA C/MACAN IFR 7000+,13.0,8606.78
2026-02-23,MAST,4760094,SWITCH 24PG/4PGBIC SG 2404POE MAX,11.0,8552.83
2026-02-23,MAST,4565614,CAMERA VID WIFI FHD IMX C C/MICROSD 32GB,74.0,8331.66
2026-02-23,MAST,4780065,MODEM OPT WIFIBER 121 AC,60.0,8319.6
2026-02-23,MAST,4565516,CAMERA VID WI-FI FHD IME 360 C,63.0,8308.44
2026-02-23,MAST,4565505,CAMERA VID WI-FI FHD IM5+ FC,52.0,8224.32
2026-02-23,MAST,3030390,"BLC OPT CMOS 1/2,8"" VIP 3260 Z IA",33.0,8186.97
2026-02-23,MAST,4560074,CAMERA VID WI-FI IM9 + FC,27.0,8137.8
2026-02-23,MAST,4520042,VIDEO PORTEIRO IVR 1010,47.0,8121.13
2026-02-23,MAST,4822014,NOBREAK SNB 1500VA BIVOLT,12.0,7920.72
2026-02-23,MAST,4611060,CENTRAL ALRM INCD ENDER CIE 1060,48.0,7879.68
2026-02-23,MAST,1889431,PCIM PRINCIPAL DNB 10KVA 220V,6.0,7799.77
2026-02-23,MAST,1890814,PCIM PRINCIPAL/RFID LE 170 HZ100,10.0,7715.64
2026-02-23,MAST,4811016,POWER CONV EST VIDEO BALUN VB 1016 WP,19.0,7435.08
